start,end,zone
5,98,8
100,212,8
214,268,8
270,342,8
344,344,8
346,347,8
349,349,8
350,352,7
354,359,7
360,361,8
362,362,7
363,364,8
365,366,7
367,368,8
369,372,7
373,374,8
375,375,7
376,379,8
380,397,7
398,418,8
420,424,7
425,427,8
430,459,8
460,466,7
467,468,8
469,469,7
470,471,8
472,472,7
473,473,8
474,479,7
480,497,8
498,509,7
510,513,6
514,514,7
515,516,6
520,528,7
530,532,7
534,535,7
537,551,7
553,564,7
565,565,6
566,567,7
570,577,6
580,581,6
582,583,7
584,588,6
590,599,5
600,620,7
622,631,7
633,639,7
640,641,6
644,649,6
650,653,7
654,658,6
660,662,6
664,678,6
679,679,5
680,681,6
683,693,6
700,701,7
703,708,7
710,714,6
716,717,7
718,718,6
719,725,7
726,727,6
728,728,7
729,731,6
733,738,6
739,739,5
740,741,6
743,770,6
772,789,6
790,794,5
795,796,6
797,816,5
820,828,5
829,832,4
833,833,5
834,834,4
835,838,5
840,847,4
850,853,4
855,857,4
859,860,4
863,863,4
864,864,3
865,865,5
870,871,5
873,885,5
889,891,3
893,893,3
894,895,4
897,898,4
900,908,1
910,918,1
919,921,2
922,928,1
930,935,2
936,939,3
940,949,4
950,951,3
952,966,4
967,968,8
969,969,9
970,974,5
975,976,4
977,986,5
988,994,5
995,997,8
998,999,7